,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2015-11-02 21:00:00+00:00,0.2924441046638823,0.024696749999999268,0.0015071754210273863,0.038539075658735156,0.15467781127872982,1.2316689060095796,0.0,-1871.0325000000007,12118.0,12118.0,0.0,1.1825937771345523,12118.0,105.48330090497734,12118.0,1,-0.26144093943744257,1.221660905577471,1.1825937771345523,[],2015-11-02 21:00:00+00:00,2015-11,2015-11-02 14:31:00+00:00,168.0,10246.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 121.18}]",121.18,0.01666837401747756,0.24561345628336484,0.0,106.61657142857138,0.0,0,0.34492508640008546,-1871.0325000000007,11950.0,11950.0,211,[],0.0
2015-11-03 21:00:00+00:00,0.29210933165585184,0.03859674999999929,0.013298878418484318,0.04155051129223164,0.15433836011707266,1.2330011836137873,0.0,-1871.0325000000007,12257.0,12257.0,0.0,1.1801500437970753,12257.0,105.4399797297297,12257.0,1,-0.26144093943744257,1.221660905577471,1.1801500437970753,[],2015-11-03 21:00:00+00:00,2015-11,2015-11-03 14:31:00+00:00,139.0,10385.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 122.57000000000001}]",122.57000000000001,0.013564988861338723,0.2999350114659113,0.0,106.57614685314681,0.0,0,0.421724713775817,-1871.0325000000007,12118.0,12118.0,212,[],0.0
2015-11-04 21:00:00+00:00,0.29148870417641676,0.03289674999999925,0.011151950414393463,0.03839098081546011,0.15401506649660285,1.2332951013054838,0.0,-1871.0325000000007,12200.0,12200.0,0.0,1.1811441947125887,12200.0,105.39551569506723,12200.0,1,-0.26144093943744257,1.221660905577471,1.1811441947125887,[],2015-11-04 21:00:00+00:00,2015-11,2015-11-04 14:31:00+00:00,-57.0,10328.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 122.0}]",122.0,-0.005488174308267424,0.27688699706216174,0.0,106.53403480278416,0.0,0,0.3892445702775926,-1871.0325000000007,12257.0,12257.0,213,[],0.0
2015-11-05 21:00:00+00:00,0.2910386823063411,0.022096749999999332,0.0002059541950477062,0.03735431691253521,0.15365882682710671,1.233860076400096,0.0,-1871.0325000000007,12092.0,12092.0,0.0,1.1830582574496986,12092.0,104.90144866071431,12092.0,1,-0.26144093943744257,1.221660905577471,1.1830582574496986,[],2015-11-05 21:00:00+00:00,2015-11,2015-11-05 14:31:00+00:00,-108.0,10220.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 120.92}]",120.92,-0.010456030576144193,0.23371318086235252,0.0,106.03898845265593,0.0,0,0.3283197213496433,-1871.0325000000007,12200.0,12200.0,214,[],0.0
2015-11-06 21:00:00+00:00,0.2903603305148927,0.0234967499999994,0.002571266681486129,0.03681147630743231,0.153301491758107,1.2337855856296744,0.0,-1871.0325000000007,12106.0,12106.0,0.0,1.1828078594289626,12106.0,104.85908444444445,12106.0,1,-0.26144093943744257,1.221660905577471,1.1828078594289626,[],2015-11-06 21:00:00+00:00,2015-11,2015-11-06 14:31:00+00:00,14.0,10234.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 121.06}]",121.06,0.0013697333447151294,0.23869879486677434,0.0,106.0007126436782,0.0,0,0.33532265841260805,-1871.0325000000007,12092.0,12092.0,215,[],0.0
2015-11-09 21:00:00+00:00,0.28973589179071757,0.018596749999999496,0.01054281515316068,0.027136294187277255,0.15329174694910205,1.2306026500505798,0.0,-1871.0325000000007,12057.0,12057.0,0.0,1.183687263875523,12057.0,104.82940265486727,12057.0,1,-0.26144093943744257,1.221660905577471,1.183687263875523,[],2015-11-09 21:00:00+00:00,2015-11,2015-11-09 14:31:00+00:00,-49.0,10185.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 120.57000000000001}]",120.57000000000001,-0.004787509095656506,0.21882811918977826,0.0,105.96439588100691,0.0,0,0.3073632628525924,-1871.0325000000007,12106.0,12106.0,216,[],0.0
2015-11-10 21:00:00+00:00,0.29188413542928815,-0.019403250000000538,-0.03593227251428077,0.02950581167967692,0.15295382198895485,1.22634077512322,0.0,-1871.0325000000007,11677.0,11677.0,0.0,1.1908054967549098,11677.0,104.79026872246696,11677.0,1,-0.26144093943744257,1.221660905577471,1.1908054967549098,[],2015-11-10 21:00:00+00:00,2015-11,2015-11-10 14:31:00+00:00,-380.0,9805.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 116.77}]",116.77,-0.03730622545182871,0.06778999779693912,0.0,105.91912300683376,0.0,0,0.0943612307270324,-1871.0325000000007,12057.0,12057.0,217,[],0.0
2015-11-11 21:00:00+00:00,0.2913028213810678,-0.026003250000000477,-0.0379890051616957,0.02545823360397126,0.15266501117123796,1.2267010487705097,0.0,-1871.0325000000007,11611.0,11611.0,0.0,1.192098433593336,11611.0,104.75308114035086,11611.0,1,-0.26144093943744257,1.221660905577471,1.192098433593336,[],2015-11-11 21:00:00+00:00,2015-11,2015-11-11 14:31:00+00:00,-66.0,9739.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 116.11}]",116.11,-0.006730595425693542,0.04090498770874172,0.0,105.87290249433111,0.0,0,0.056921610600543564,-1871.0325000000007,11677.0,11677.0,218,[],0.0
2015-11-12 21:00:00+00:00,0.2906664189849584,-0.029903250000000492,-0.02249330458226887,0.01114309403501057,0.15306583633840792,1.2174970415250688,0.0,-1871.0325000000007,11572.0,11572.0,0.0,1.1928707110914454,11572.0,104.71396506550218,11572.0,1,-0.26144093943744257,1.221660905577471,1.1928707110914454,[],2015-11-12 21:00:00+00:00,2015-11,2015-11-12 14:31:00+00:00,-39.0,9700.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 115.72}]",115.72,-0.0040041201369511725,0.02495591986118482,0.0,105.82355981941313,0.0,0,0.0347237528557149,-1871.0325000000007,11611.0,11611.0,219,[],0.0
2015-11-13 21:00:00+00:00,0.292393592625355,-0.06370325000000043,-0.04677580624181198,-0.00021014866845037172,0.15319621724535873,1.229150197082719,0.0,-1871.0325000000007,11234.0,11234.0,0.0,1.1998332793529403,11234.0,104.66711086956522,11234.0,1,-0.26144093943744257,1.221660905577471,1.1998332793529403,[],2015-11-13 21:00:00+00:00,2015-11,2015-11-13 14:31:00+00:00,-338.0,9362.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 112.34}]",112.34,-0.03484188561604806,-0.11179766333042877,0.0,105.76707865168542,0.0,0,-0.1543854150955996,-1871.0325000000007,11572.0,11572.0,220,[],0.0
2015-11-16 21:00:00+00:00,0.2924879482973133,-0.045353250000000345,-0.045553003232483395,0.014993559960160052,0.15370268769050338,1.2299497021044927,0.0,-1871.0325000000007,11417.5,11417.5,0.0,1.1959921300732446,11417.5,104.62213203463205,11417.5,1,-0.26144093943744257,1.221660905577471,1.1959921300732446,[],2015-11-16 21:00:00+00:00,2015-11,2015-11-16 14:31:00+00:00,183.5,9546.467499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 114.175}]",114.175,0.01959848733854952,-0.03485070204878509,0.0,105.71304921700226,0.0,0,-0.048251408522882365,-1871.0325000000007,11234.0,11234.0,221,[],0.0
2015-11-17 21:00:00+00:00,0.2918748589290405,-0.050203250000000366,-0.05010074600055144,0.014253085743785254,0.15335718374645577,1.230112669600779,0.0,-1871.0325000000007,11369.0,11369.0,0.0,1.1969929355938522,11369.0,104.58052155172416,11369.0,1,-0.26144093943744257,1.221660905577471,1.1969929355938522,[],2015-11-17 21:00:00+00:00,2015-11,2015-11-17 14:31:00+00:00,-48.5,9497.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 113.69}]",113.69,-0.005080413252336546,-0.0545249074151481,0.0,105.6555523385301,0.0,0,-0.07547781357346821,-1871.0325000000007,11417.5,11417.5,222,[],0.0
2015-11-18 21:00:00+00:00,0.294000095644205,-0.014203250000000334,-0.029735468875571415,0.030344841971329917,0.1539253026800434,1.2440785918349109,0.0,-1871.0325000000007,11729.0,11729.0,0.0,1.189799012828963,11729.0,104.5479120171674,11729.0,1,-0.26144093943744257,1.221660905577471,1.189799012828963,[],2015-11-18 21:00:00+00:00,2015-11,2015-11-18 14:31:00+00:00,360.0,9857.967499999999,"[{'sid': Equity(8 [AAPL]), 'amount': 100, 'cost_basis': 118.71032500000001, 'last_sale_price': 117.29}]",117.29,0.0379028460562747,0.09179871608152015,0.0,105.60434589800447,0.0,0,0.12828849473594048,-1871.0325000000007,11369.0,11369.0,223,[],0.0
